frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
131,shoe,0.5503,444.2,337.7,1323.1,774.8,883,555,-0.0238115074278884,0.0046386053430951,0.5999361057977061,0.6040051722923728
132,shoe,0.5418,444.6,337.8,1323.2,774.8,883,555,-0.023811480819633,0.0046386001596687,0.5999354353969271,0.6052470202107344
133,shoe,0.5088,444.4,337.7,1323.0,774.8,883,555,-0.0238114575650913,0.0046385956295632,0.5999348494936927,0.6041144853158438
134,shoe,0.441,444.4,337.3,1323.0,774.9,883,555,-0.0238114546533718,0.0046385950623451,0.5999347761322876,0.6046510658034302
135,shoe,0.5638,444.2,337.4,1322.9,775.0,883,556,-0.0238113881059641,0.0049478209051354,0.5999330994558844,0.6065578350412398
136,shoe,0.5526,444.5,337.4,1323.0,775.1,883,556,-0.0238113994852755,0.0049478232696676,0.5999333861601088,0.606302482636399
137,shoe,0.5739,444.5,337.4,1323.1,774.7,883,555,-0.0238114805212864,0.0046386001015493,0.59993542788002,0.6064439063656133
138,shoe,0.5953,444.3,337.3,1322.8,774.9,883,555,-0.0238114420086576,0.0046385925990891,0.5999344575459636,0.6017777815757024
139,shoe,0.647,444.3,337.6,1322.7,775.1,883,556,-0.0238113692906563,0.004947816995461,0.5999326254001152,0.6095140671619964
140,shoe,0.5195,443.6,338.3,1324.3,774.9,883,556,-0.0238113947006076,0.0049478222754509,0.5999332656093611,0.6009847328254442
141,shoe,0.5613,444.3,337.4,1323.1,775.0,883,556,-0.0238114145241266,0.0049478263946237,0.5999337650672325,0.6074863762721715
142,shoe,0.5034,444.1,337.4,1323.1,774.9,883,555,-0.0238115030013591,0.0046386044807842,0.5999359942703383,0.6048946558346275
143,shoe,0.5238,444.5,337.5,1322.8,774.9,883,555,-0.0238114954840933,0.0046386030163818,0.5999358048711917,0.6037372168085501
144,shoe,0.5347,444.4,337.5,1322.7,774.9,883,555,-0.023811480410984,0.0046386000800618,0.5999354251009255,0.6083678723483619
145,shoe,0.5808,444.5,337.6,1322.9,774.8,883,555,-0.0238114623797371,0.0046385965674812,0.5999349707997401,0.6051101806138767
146,shoe,0.5253,444.5,337.7,1322.8,774.8,883,555,-0.0238114460241837,0.0046385933813344,0.599934558718017,0.6089319318362357
147,shoe,0.5758,444.7,337.8,1322.8,774.8,883,555,-0.0238114538996557,0.0046385949155173,0.5999347571422475,0.6101296801407246
148,shoe,0.5244,444.6,337.6,1322.7,774.9,883,555,-0.0238114596475201,0.0046385960352311,0.5999349019609395,0.6088369346716572
149,shoe,0.5395,444.5,337.5,1322.8,774.9,883,555,-0.0238114568123315,0.0046385954829217,0.5999348305277468,0.6052833140413205
150,shoe,0.6885,444.4,337.4,1322.8,774.9,883,555,-0.0238114125616966,0.0046385868626681,0.599933715623382,0.6071455186702326
151,shoe,0.6774,444.7,337.4,1322.8,775.1,883,556,-0.0238113433252794,0.004947811600058,0.5999319711967985,0.6073145509284166
152,shoe,0.6333,444.5,337.5,1322.7,775.0,883,556,-0.0238113776672744,0.004947818736057,0.5999328364508295,0.6029155848368553
153,shoe,0.6672,444.6,337.5,1322.5,774.8,883,555,-0.0238114582063687,0.0046385957544874,0.5999348656508172,0.6042589863791054
154,shoe,0.7184,444.6,337.5,1322.5,775.1,883,556,-0.0238113542697038,0.0049478138742241,0.599932246943951,0.5934444180349957
155,shoe,0.6956,444.6,337.5,1322.6,775.0,883,556,-0.023811354338508,0.0049478138885211,0.5999322486774886,0.6034540908800168
156,shoe,0.7337,444.1,337.3,1322.5,775.0,883,556,-0.0238113735620835,0.0049478178830303,0.5999327330196516,0.6028002309789305
157,shoe,0.6772,444.5,337.1,1322.6,775.1,883,556,-0.0238113831185069,0.0049478198687806,0.5999329737958152,0.6057080342155701
158,shoe,0.6695,444.4,337.1,1322.6,775.2,883,556,-0.0238113824238594,0.0049478197244383,0.5999329562940221,0.6013894149281893
159,shoe,0.6178,444.3,337.3,1322.7,774.9,883,555,-0.0238114469783717,0.0046385935672152,0.5999345827589907,0.5997034267611104
160,shoe,0.6358,444.3,337.1,1323.0,775.0,883,556,-0.0238113626919648,0.0049478156243043,0.5999324591446487,0.600410145909308
161,shoe,0.6231,443.6,337.9,1324.4,775.0,883,556,-0.0238113828543619,0.0049478198138933,0.5999329671406262,0.6061386375049918
162,shoe,0.647,444.7,337.2,1322.8,775.1,883,556,-0.0238113822310749,0.0049478196843792,0.5999329514367738,0.6080412203609216
163,shoe,0.6064,444.5,337.3,1322.9,775.0,883,556,-0.0238113945584121,0.0049478222459038,0.5999332620267155,0.6038416255319021
164,shoe,0.6823,443.4,338.0,1324.4,774.9,883,556,-0.0238114118638983,0.004947825841849,0.5999336980422005,0.6046281152623832
165,shoe,0.5983,444.5,337.3,1322.7,774.7,883,555,-0.0238114985033521,0.0046386036045491,0.5999358809420738,0.6039885459758746
166,shoe,0.6463,444.5,337.3,1322.7,774.9,883,555,-0.0238114806972353,0.004638600135825,0.599935432313091,0.6061111226242117
167,shoe,0.5716,444.7,336.9,1322.7,774.7,883,555,-0.0238114683406636,0.0046385977287007,0.5999351209865799,0.6007656272720411
168,shoe,0.6484,444.2,337.4,1322.7,774.8,883,555,-0.0238114714654239,0.0046385983374202,0.5999351997155954,0.6056079451966115
169,shoe,0.6457,444.6,337.1,1322.6,774.9,883,555,-0.02381144754242,0.0046385936770948,0.5999345969703115,0.6086039663424746
170,shoe,0.6481,444.5,337.2,1322.6,774.9,883,555,-0.0238114403081558,0.0046385922678225,0.599934414701451,0.6091596887540274
171,shoe,0.6423,444.6,337.4,1322.7,774.8,883,555,-0.0238114573971919,0.0046385955968555,0.5999348452634319,0.6041678282179581
172,shoe,0.6248,444.5,337.1,1322.7,775.0,883,556,-0.023811409920987,0.0049478254381271,0.5999336490901294,0.6020741312819472
173,shoe,0.6139,444.5,337.2,1322.7,775.0,883,556,-0.0238114428886492,0.0049478322885504,0.5999344797175451,0.6108602890338495
174,shoe,0.5843,444.7,337.3,1322.5,775.2,883,556,-0.023811459919661,0.004947835827462,0.5999349088175894,0.6072231505083747
175,shoe,0.7048,444.4,337.4,1322.4,775.2,883,556,-0.0238114499807202,0.0049478337622275,0.5999346584038147,0.6078919601032838
176,shoe,0.6759,444.5,337.4,1322.5,775.1,883,556,-0.0238114503961896,0.0049478338485588,0.5999346688716573,0.6076559366093943
177,shoe,0.5753,444.6,337.3,1322.5,775.0,883,556,-0.023811437278066,0.004947831122715,0.5999343383576812,0.6055558912146471
178,shoe,0.6304,444.5,337.2,1322.5,774.9,883,555,-0.0238115087433452,0.0046386055993529,0.5999361389409256,0.6059670821905699
179,shoe,0.549,444.4,337.0,1322.7,774.9,883,555,-0.0238114836970469,0.0046386007202039,0.5999355078939951,0.6079273016878841
180,shoe,0.6277,444.6,337.1,1322.4,775.2,883,556,-0.0238113786258482,0.0049478189352411,0.5999328606023031,0.6049337412342228
181,shoe,0.6073,444.7,337.2,1322.5,775.1,883,556,-0.023811387453376,0.0049478207695326,0.5999330830137859,0.60715279074363
182,shoe,0.6104,443.7,338.0,1324.5,775.0,883,556,-0.0238113817529649,0.0049478195850316,0.5999329393906891,0.6068881647390364
183,shoe,0.6285,443.7,338.0,1324.4,775.0,883,556,-0.0238114006005863,0.0049478235014205,0.599933414260606,0.6046428452365465
184,shoe,0.6755,443.7,337.9,1324.4,775.1,883,556,-0.0238114073261739,0.0049478248989452,0.5999335837132492,0.6048113392734034
185,shoe,0.6062,443.7,338.0,1324.4,775.1,883,556,-0.023811419265034,0.0049478273797473,0.5999338845154241,0.6014389528631585
186,shoe,0.5771,444.3,337.2,1322.7,775.0,883,556,-0.0238114158354094,0.004947826667098,0.5999337981052867,0.6102833826634763
187,shoe,0.6084,444.5,337.3,1322.6,775.0,883,556,-0.0238114114149833,0.0049478257485679,0.5999336867316898,0.6017456302144835
188,shoe,0.5757,444.3,337.3,1322.8,774.9,883,555,-0.0238114668592264,0.004638597440109,0.5999350836614465,0.6122004315630243
189,shoe,0.5508,444.5,337.2,1322.7,774.9,883,555,-0.0238114448197273,0.0046385931467001,0.599934528371477,0.6104995706916204
190,shoe,0.4757,443.8,337.3,1322.9,775.0,882,556,-0.0241202674645847,0.0049477471722225,0.5999241591939367,0.6020723158695106
191,shoe,0.5224,443.8,337.4,1322.5,775.0,882,556,-0.0241203922840792,0.0049477727762213,0.5999272637295882,0.6052364765158015
192,shoe,0.5679,444.0,337.5,1322.3,775.1,883,556,-0.0238115934443889,0.00494786357286,0.5999382730021344,0.6060626597522721
193,shoe,0.5273,443.8,337.7,1322.6,775.2,882,556,-0.0241204024617404,0.0049477748639467,0.5999275168704324,0.6076650676918575
194,shoe,0.6201,443.4,337.9,1324.2,775.1,883,556,-0.0238115745738196,0.0049478596517027,0.5999377975540383,0.6008046887402154
195,shoe,0.6149,444.3,337.5,1322.6,775.0,883,556,-0.0238115189607703,0.0049478480957444,0.5999363963711715,0.6053725828745203
196,shoe,0.6647,443.2,338.0,1324.4,775.2,883,556,-0.0238114841239394,0.0049478408569224,0.5999355186496456,0.5998151491405114
197,shoe,0.5848,443.7,337.9,1324.4,774.8,883,555,-0.0238115301514161,0.0046386097697563,0.599936678321925,0.6043884416635148
198,shoe,0.6394,443.5,338.1,1324.3,774.9,883,556,-0.0238114348990605,0.0049478306283762,0.5999342784181213,0.598771837919761
199,shoe,0.6789,443.6,337.5,1324.4,775.0,883,556,-0.0238114496147256,0.0049478336861767,0.5999346491825001,0.5990369732346397
200,shoe,0.7097,443.6,337.7,1324.5,775.1,883,556,-0.0238114558810784,0.004947834988276,0.5999348070646234,0.6000997129416611
201,shoe,0.6468,443.3,337.8,1324.4,775.0,883,556,-0.023811464928321,0.0049478368682225,0.5999350350118657,0.6027674804732367
